Meno,Link,Licencia
"ŠACHOVÝ TURNAJ CENADA - Turnaj B, GPX+ OPEN ",https://chess-results.com/tnr908018.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Network Cafe Bardejov - GPX mládeže - 16.3.202,https://chess-results.com/tnr909097.aspx,Creator/Last Upload: Slovak Chess Federation
"Liga mládeža Spiša 5. turnaj Kežmarok GPX 2023/24 08,11,14 ",https://chess-results.com/tnr909328.aspx,"Creator: Slovak Chess Federation license 13,Last Upload: Slovak Chess Federation license 67"
Liga mládeža Spiša 5. turnaj Kežmarok 2023/24 GPX + 23 ,https://chess-results.com/tnr909329.aspx,"Creator: Slovak Chess Federation license 13,Last Upload: Slovak Chess Federation license 67"
"FoosBar ŠACH-BAR liga, 2023-24, 7. kolo ",https://chess-results.com/tnr910655.aspx,Creator/Last Upload: windvd
5. turnaj - XI. Ročník REINTER GPX v šach,https://chess-results.com/tnr910283.aspx,Creator/Last Upload: Slovak Chess Federation license 9
Šach-Mat 7.kolo Šachovo barová liga v Chi,https://chess-results.com/tnr908351.aspx,Creator/Last Upload: Slovak Chess Federation license 6
Majstrovstva ZS Cadrova 18.3.2024 ,https://chess-results.com/tnr909418.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Kral sachu SPSE 2024 ,https://chess-results.com/tnr910962.aspx,Creator/Last Upload: Slovak Chess Federation license 4
6.turnaj začiatočníkov-12.ročník - R,https://chess-results.com/tnr893018.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Pieniny Chess Tournament 2024 blitz ,https://chess-results.com/tnr914277.aspx,Creator/Last Upload: Slovak Chess Federation license 2
Pieniny Chess Tournament 2024 (21. 03. - 24. 03.) ,https://chess-results.com/tnr876444.aspx,Creator/Last Upload: Slovak Chess Federation license 2
Zákamenská liga ,https://chess-results.com/tnr948056.aspx,Creator/Last Upload: Slovak Chess Federation license 4
Chess night v UniKu Mlyny - 22.3. 2024 ,https://chess-results.com/tnr874457.aspx,Creator/Last Upload: Slovak Chess Federation license 4
5. kolo školskej šachovej ligy v rapid &#,https://chess-results.com/tnr913356.aspx,Creator/Last Upload: Slovak Chess Federation license 7
Ziacka liga v sachu  Kosice 21.rocník 5.turnaj 23.3,https://chess-results.com/tnr899463.aspx,Creator/Last Upload: Slovak Chess Federation license 2
Network Cafe Bardejov - GPX mládeže - 23.3.202,https://chess-results.com/tnr913592.aspx,Creator/Last Upload: Slovak Chess Federation
6. turnaj serialu Talent 2023/24 21.10.2023 - 23.03,https://chess-results.com/tnr900639.aspx,Creator/Last Upload: Slovak Chess Federation license 1
NitranCheck GPX 24.3.2024 ,https://chess-results.com/tnr889188.aspx,Creator/Last Upload: Slovak Chess Federation license 6
